자치구,동,법정동코드,단지기본일련번호,아파트,매물종별구분,매물종별구분명,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,KB일반가_만원,시세기준월,세대수
강남구,삼성동,1168010500,37051,"래미안삼성1차(102,103번지)",1,아파트,217490,106.2,84.9,,262500.0,202607,169.0
강남구,삼성동,1168010500,36287,삼부,1,아파트,212643,113.81,83.39,B,195000.0,202607,83.0
강남구,삼성동,1168010500,13642,삼성SK뷰,1,아파트,13421,99.19,84.52,A,,202607,
강남구,삼성동,1168010500,13642,삼성SK뷰,1,아파트,61393,99.18,84.88,B,,202607,
강남구,삼성동,1168010500,13642,삼성SK뷰,1,아파트,102075,99.01,84.99,C,,202607,
강남구,삼성동,1168010500,11957,삼부아그레빌,1,아파트,132646,108.41,83.75,A,183500.0,202607,67.0
강남구,삼성동,1168010500,11957,삼부아그레빌,1,아파트,156063,109.63,84.61,B,197500.0,202607,67.0
강남구,삼성동,1168010500,11957,삼부아그레빌,1,아파트,173050,109.56,84.75,C,197500.0,202607,67.0
강남구,삼성동,1168010500,14704,삼성동 아셈,1,아파트,102802,95.74,83.65,,192200.0,202607,18.0
강남구,삼성동,1168010500,38,삼성동롯데,1,아파트,93370,113.38,84.87,,272500.0,202607,339.0
강남구,삼성동,1168010500,12297,삼성동금호어울림,1,아파트,156177,102.14,83.31,B,,202607,68.0
강남구,삼성동,1168010500,12297,삼성동금호어울림,1,아파트,173134,103.54,84.32,A,220000.0,202607,68.0
강남구,삼성동,1168010500,12297,삼성동금호어울림,1,아파트,185547,103.89,84.81,B,220000.0,202607,68.0
강남구,삼성동,1168010500,31920,삼성동센트럴아이파크,1,아파트,143594,112.41,84.99,A,395000.0,202607,416.0
강남구,삼성동,1168010500,31920,삼성동센트럴아이파크,1,아파트,164440,112.42,84.95,B,402500.0,202607,416.0
강남구,삼성동,1168010500,31920,삼성동센트럴아이파크,1,아파트,179526,113.1,84.98,C,402500.0,202607,416.0
강남구,삼성동,1168010500,31920,삼성동센트럴아이파크,1,아파트,190396,113.38,84.95,D,402500.0,202607,416.0
강남구,삼성동,1168010500,12603,삼성동대성유니드,1,아파트,101398,103.57,83.93,,167500.0,202607,59.0
강남구,삼성동,1168010500,12603,삼성동대성유니드,1,아파트,132960,105.01,84.91,,167500.0,202607,59.0
