자치구,동,법정동코드,단지기본일련번호,아파트,매물종별구분,매물종별구분명,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,KB일반가_만원,시세기준월
서초구,반포동,1165010700,1597,반포두산힐스빌,01,아파트,171453,90.52,58.7,,145000.0,202607
서초구,반포동,1165010700,47483,반포센트레빌아스테리움,01,아파트,1239937,76.55,59.99,,,202607
서초구,반포동,1165010700,1596,반포미도2차,01,아파트,1505,76.99,59.07,,270000.0,202607
서초구,반포동,1165010700,31997,반포써밋,01,아파트,30863,77.86,59.92,A,307500.0,202607
서초구,반포동,1165010700,31997,반포써밋,01,아파트,77096,78.25,59.92,B,307500.0,202607
서초구,반포동,1165010700,31997,반포써밋,01,아파트,114977,78.86,59.32,C,307500.0,202607
서초구,반포동,1165010700,23387,반포리체,01,아파트,22545,84.73,59.99,A,347500.0,202607
서초구,반포동,1165010700,23387,반포리체,01,아파트,69663,84.84,59.99,B,347500.0,202607
서초구,반포동,1165010700,15891,반포자이,01,아파트,15625,84.74,59.98,A,366667.0,202607
서초구,반포동,1165010700,15891,반포자이,01,아파트,63395,84.23,59.97,B,366667.0,202607
서초구,반포동,1165010700,22428,반포힐스테이트,01,아파트,176491,86.6,59.7,A,340000.0,202607
서초구,반포동,1165010700,22428,반포힐스테이트,01,아파트,160526,86.61,59.7,C,340000.0,202607
서초구,반포동,1165010700,22428,반포힐스테이트,01,아파트,188149,87.75,59.96,B,340000.0,202607
서초구,반포동,1165010700,1584,반포푸르지오,01,아파트,128568,75.53,58.88,A,227500.0,202607
서초구,반포동,1165010700,1584,반포푸르지오,01,아파트,153616,76.85,59.91,B,245000.0,202607
서초구,반포동,1165010700,1584,반포푸르지오,01,아파트,193805,76.72,59.81,C,245000.0,202607
서초구,반포동,1165010700,25793,써니힐.,01,아파트,71589,70.79,59.12,B,79100.0,202607
서초구,반포동,1165010700,1589,엠브이,01,아파트,1498,74.52,59.82,,185000.0,202607
서초구,반포동,1165010700,28770,아크로리버파크,01,아파트,228262,78.68,59.98,D,410000.0,202607
서초구,반포동,1165010700,28770,아크로리버파크,01,아파트,228422,79.24,59.98,E,410000.0,202607
서초구,반포동,1165010700,28770,아크로리버파크,01,아파트,27665,80.21,59.97,A,410000.0,202607
서초구,반포동,1165010700,28770,아크로리버파크,01,아파트,112607,80.54,59.98,B,410000.0,202607
서초구,반포동,1165010700,28770,아크로리버파크,01,아파트,74212,80.25,59.95,C,425000.0,202607
서초구,방배동,1165010100,1620,두원,01,아파트,1529,79.82,59.27,A,190800.0,202607
서초구,방배동,1165010100,1620,두원,01,아파트,128590,80.17,59.53,B,179900.0,202607
서초구,방배동,1165010100,1682100,래미안원페를라,01,아파트,4868240,81.0,59.98,A,,202607
