자치구,동,법정동코드,단지기본일련번호,아파트
강남구,신사동,1168010700,28630,알파임하우스
강남구,신사동,1168010700,18808,압구정KCC
강남구,신사동,1168010700,40297,압구정심포니(도).
강남구,신사동,1168010700,24970,압구정아인빌
강남구,신사동,1168010700,12600,압구정하이츠파크
강남구,신사동,1168010700,24430,우찬
강남구,신사동,1168010700,18757,유로미
강남구,신사동,1168010700,14305,장자울
강남구,신사동,1168010700,13310,진흥아마란스
강남구,신사동,1168010700,44961,천지인수지빌
강남구,신사동,1168010700,19702,청림쉐르빌
강남구,신사동,1168010700,20965,체리빌
강남구,신사동,1168010700,20730,토미.
강남구,신사동,1168010700,31441,하얏트빌.
강남구,신사동,1168010700,28982,한양
강남구,신사동,1168010700,28242,현대아인빌
강남구,신사동,1168010700,114,현대연립
강남구,신사동,1168010700,28404,화이트빌
강남구,압구정동,1168011000,28403,대림빌라트
강남구,압구정동,1168011000,95,미성(1차)
강남구,압구정동,1168011000,93,미성(2차)
강남구,압구정동,1168011000,96,한양(1차)
강남구,압구정동,1168011000,97,한양(2차)
강남구,압구정동,1168011000,98,한양(3차)
강남구,압구정동,1168011000,99,한양(4차)
강남구,압구정동,1168011000,94,한양(5차)
강남구,압구정동,1168011000,100,한양(6차)
강남구,압구정동,1168011000,101,한양(7차)
강남구,압구정동,1168011000,102,한양(8차)
강남구,압구정동,1168011000,36367,"현대(1,2차)"
강남구,압구정동,1168011000,21227,현대(10차)
강남구,압구정동,1168011000,22306,현대(13차)
강남구,압구정동,1168011000,385556,현대(14차)
강남구,압구정동,1168011000,106,현대(3차)
강남구,압구정동,1168011000,107,현대(4차)
강남구,압구정동,1168011000,108,현대(5차)
강남구,압구정동,1168011000,36573,"현대(6,7차)"
강남구,압구정동,1168011000,12450,현대(65동)
강남구,압구정동,1168011000,103,현대(8차)
강남구,압구정동,1168011000,92,현대(신현대)
강남구,압구정동,1168011000,35371,현대빌라트
강남구,역삼동,1168010100,46957,강남센트럴아이파크
강남구,역삼동,1168010100,25730,강남한솔
강남구,역삼동,1168010100,25248,개나리SK뷰
강남구,역삼동,1168010100,14176,개나리래미안
강남구,역삼동,1168010100,14175,개나리푸르지오
강남구,역삼동,1168010100,12233,갤러리빌
강남구,역삼동,1168010100,24600,갤러리아트.
강남구,역삼동,1168010100,35,갤러리하우스
강남구,역삼동,1168010100,19,거평.
강남구,역삼동,1168010100,28,경남
강남구,역삼동,1168010100,36,경일역삼.
강남구,역삼동,1168010100,24544,공간쉐르빌
강남구,역삼동,1168010100,26210,광평하우스빌.
강남구,역삼동,1168010100,12338,금호어울림
강남구,역삼동,1168010100,47654,꿈꾸지오(691-5)
강남구,역삼동,1168010100,47656,꿈꾸지오(697-23)
강남구,역삼동,1168010100,47744,"꿈꾸지오(698-6,도시형)"
강남구,역삼동,1168010100,47635,"꿈꾸지오(751-4,도시형)"
강남구,역삼동,1168010100,47746,"꿈꾸지오(774-27,도시형)"
강남구,역삼동,1168010100,47750,"꿈꾸지오(794-21,도시형)"
강남구,역삼동,1168010100,20,네스빌.
강남구,역삼동,1168010100,20958,노블스위트
강남구,역삼동,1168010100,20344,뉴엠.
강남구,역삼동,1168010100,490650,다사랑빌(도)
강남구,역삼동,1168010100,722867,다올2차(도)
강남구,역삼동,1168010100,22,대림역삼
강남구,역삼동,1168010100,25813,대명벨리온(도시형)
강남구,역삼동,1168010100,500949,더클래스(도)
강남구,역삼동,1168010100,505426,더프라나역삼(도)
강남구,역삼동,1168010100,18,동부센트레빌
강남구,역삼동,1168010100,38657,동원스위트뷰역삼
강남구,역삼동,1168010100,2144793,두산위브파빌리온역삼(도시형)
강남구,역삼동,1168010100,22099,뜨라네(828-21).
강남구,역삼동,1168010100,19896,뜨라네(828-76).
강남구,역삼동,1168010100,21221,래미안그레이튼
강남구,역삼동,1168010100,21222,래미안그레이튼(진달래2차)
강남구,역삼동,1168010100,15113,래미안펜타빌
강남구,역삼동,1168010100,733898,런던빌(도)
강남구,역삼동,1168010100,15501,로얄빌리지
강남구,역삼동,1168010100,24626,로얄팰리스
강남구,역삼동,1168010100,488837,루미하우스(도)
강남구,역삼동,1168010100,2148665,리치웰빌라트(도시형)
