거래금액_만원,전용면적_㎡,계약연도,계약월,계약일,법정동,아파트,층,건축연도,해제여부,자치구코드,자치구,계약년월,㎡당_실거래가격_만원
29300,54.7,2016,7,16,창신동,창신쌍용2,8,1993,,11110,종로구,201607,535.6489945155392
28000,94.94,2016,7,29,행촌동,대성아파트,3,1971,,11110,종로구,201607,294.92310933220983
74500,114.931,2016,7,29,무악동,인왕산아이파크,5,2008,,11110,종로구,201607,648.2150159661014
28800,55.04,2016,7,27,숭인동,탑스빌,6,2003,,11110,종로구,201607,523.2558139534884
63950,114.9,2016,7,1,무악동,현대,12,2000,,11110,종로구,201607,556.5709312445605
30000,94.94,2016,7,14,행촌동,대성아파트,3,1971,,11110,종로구,201607,315.98904571308196
71700,84.858,2016,7,30,무악동,인왕산아이파크,11,2008,,11110,종로구,201607,844.9409601923212
54970,84.92,2016,7,25,무악동,현대,4,2000,,11110,종로구,201607,647.3151201130476
27000,54.7,2016,7,8,창신동,창신쌍용2,2,1993,,11110,종로구,201607,493.6014625228519
43000,59.95,2016,7,4,창신동,두산,13,1999,,11110,종로구,201607,717.2643869891576
40700,59.95,2016,7,18,창신동,두산,11,1999,,11110,종로구,201607,678.8990825688073
32500,54.7,2016,7,22,창신동,창신쌍용1,4,1992,,11110,종로구,201607,594.1499085923217
30900,64.66,2016,7,30,창신동,창신쌍용2,6,1993,,11110,종로구,201607,477.8843179709249
115200,163.33,2016,7,22,사직동,광화문스페이스본(106동),5,2008,,11110,종로구,201607,705.3205167452396
28000,48.54,2016,7,21,익선동,현대뜨레비앙,5,2003,,11110,종로구,201607,576.84384013185
84700,114.931,2016,7,20,무악동,인왕산아이파크,12,2008,,11110,종로구,201607,736.9639174809233
63000,84.9,2016,7,9,명륜2가,아남1,7,1995,,11110,종로구,201607,742.0494699646642
62000,84.068,2016,7,1,무악동,인왕산2차아이파크,11,2015,,11110,종로구,201607,737.4982157301232
108000,124.17,2016,7,21,내수동,경희궁의아침2단지,9,2004,,11110,종로구,201607,869.7753080454216
40000,79.87,2016,7,8,창신동,창신쌍용1,8,1992,,11110,종로구,201607,500.8138224614999
54500,84.98,2016,7,14,인의동,효성쥬얼리시티,15,2006,,11110,종로구,201607,641.327371146152
58600,114.67,2016,7,21,숭인동,종로센트레빌,3,2008,,11110,종로구,201607,511.03165605651
40000,79.87,2016,7,17,창신동,창신쌍용1,7,1992,,11110,종로구,201607,500.8138224614999
47000,84.5,2016,7,1,창신동,창신이수,17,2003,,11110,종로구,201607,556.2130177514792
118000,149.0,2016,7,14,내수동,경희궁의아침3단지,10,2004,,11110,종로구,201607,791.9463087248322
41500,59.95,2016,7,27,창신동,두산,12,1999,,11110,종로구,201607,692.2435362802335
43500,115.53,2016,7,7,창신동,창신쌍용2,2,1993,,11110,종로구,201607,376.52557777200724
40000,59.92,2016,7,30,숭인동,종로센트레빌,10,2008,,11110,종로구,201607,667.5567423230974
22900,28.8,2016,7,28,창신동,동대문,5,1966,,11110,종로구,201607,795.1388888888889
23900,28.8,2016,7,18,창신동,동대문,3,1966,,11110,종로구,201607,829.8611111111111
53000,84.92,2016,7,21,숭인동,종로센트레빌,7,2008,,11110,종로구,201607,624.1168158266604
18000,21.94,2016,7,26,충신동,CS타워,5,2011,,11110,종로구,201607,820.419325432999
114800,124.17,2016,7,23,내수동,경희궁의아침4단지,11,2004,,11110,종로구,201607,924.5389385519852
63000,106.81,2016,7,18,인의동,효성쥬얼리시티,17,2006,,11110,종로구,201607,589.8324126954404
11500,12.09,2016,7,16,숭인동,종로유케이201,9,2013,,11110,종로구,201607,951.1993382961125
33800,79.87,2016,7,24,창신동,창신쌍용2,1,1993,,11110,종로구,201607,423.1876799799674
30500,59.22,2016,7,17,신영동,대아파크빌,8,1998,,11110,종로구,201607,515.0287065180682
33300,54.7,2016,7,23,창신동,창신쌍용1,8,1992,,11110,종로구,201607,608.7751371115173
64600,84.858,2016,7,13,무악동,인왕산아이파크,9,2008,,11110,종로구,201607,761.271771665606
40300,84.98,2016,7,22,평창동,삼성,12,1998,,11110,종로구,201607,474.2292304071546
54500,59.993,2016,7,23,무악동,인왕산아이파크,13,2008,,11110,종로구,201607,908.4393179204241
12000,15.855,2016,7,22,숭인동,종로동광모닝스카이,13,2013,,11110,종로구,201607,756.8590350047303
52790,84.92,2016,7,7,무악동,현대,1,2000,,11110,종로구,201607,621.6439001413095
75000,133.77,2016,7,22,평창동,르트랑시망,5,2008,,11110,종로구,201607,560.6638259699483
14000,19.466,2016,7,18,숭인동,종로중흥S클래스,14,2013,,11110,종로구,201607,719.2027124216582
62250,84.858,2016,7,9,무악동,인왕산아이파크,9,2008,,11110,종로구,201607,733.5784487025384
36400,79.87,2016,7,14,창신동,창신쌍용1,14,1992,,11110,종로구,201607,455.7405784399649
36000,79.87,2016,7,6,창신동,창신쌍용1,8,1992,,11110,종로구,201607,450.7324402153499
7800,28.05,2016,7,21,숭인동,동일상가,5,1971,,11110,종로구,201607,278.0748663101604
65000,84.068,2016,7,1,무악동,인왕산2차아이파크,15,2015,,11110,종로구,201607,773.1836132654518
30800,64.66,2016,7,8,창신동,창신쌍용2,5,1993,,11110,종로구,201607,476.33776678008047
