시작연도,매수방식,경과개월,날짜,월봉종가(달러),10개월이동평균(달러),원달러환율,매수신호,인출전현금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2008,균등 분할매수,69,2013-09-30,71.14013671875,64.01327209472656,1073.33,균등분할,0.0,1158.3581244335155,1000000.0,1000000.0,13.096403170165102,0.0,0.0,1145.2617212633504,87448569.38066548,87448569.38066548
2008,균등 분할매수,70,2013-10-31,74.66641235351562,65.65551795959473,1060.83,균등분할,0.0,1145.2617212633504,1000000.0,1000000.0,12.624928366290625,0.0,0.0,1132.6367928970599,89714314.4131632,89714314.4131632
2008,균등 분할매수,71,2013-11-30,77.31794738769531,67.40731582641601,1057.76,균등분할,0.0,1132.6367928970599,1000000.0,1000000.0,12.227355642222133,0.0,0.0,1120.4094372548377,91631377.2199416,91631377.2199416
2008,균등 분할매수,72,2013-12-31,79.58113098144531,69.3648624420166,1055.25,균등분할,0.0,1120.4094372548377,1000000.0,1000000.0,11.907882270590774,0.0,0.0,1108.501554984247,93089730.80141579,93089730.80141579
2008,균등 분할매수,73,2014-01-31,78.0521240234375,70.98800277709961,1080.36,균등분할,0.0,1108.501554984247,1000000.0,1000000.0,11.858964741549496,0.0,0.0,1096.6425902426975,92473720.44209398,92473720.44209398
2008,균등 분할매수,74,2014-02-28,82.07369995117188,72.8564437866211,1066.01,균등분할,0.0,1096.6425902426975,1000000.0,1000000.0,11.429696778888585,0.0,0.0,1085.2128934638088,94946778.94415095,94946778.94415095
2008,균등 분할매수,75,2014-03-31,79.83015441894531,74.27375564575195,1064.65,균등분할,0.0,1085.2128934638088,1000000.0,1000000.0,11.765927614454764,0.0,0.0,1073.446965849354,91233517.7492164,91233517.7492164
2008,균등 분할매수,76,2014-04-30,79.57518005371094,75.82283554077148,1032.85,균등분할,0.0,1073.446965849354,1000000.0,1000000.0,12.167045052746552,0.0,0.0,1061.2799207966075,87225773.89955807,87225773.89955807
2008,균등 분할매수,77,2014-05-31,83.1446304321289,77.3242317199707,1020.3,균등분할,0.0,1061.2799207966075,1000000.0,1000000.0,11.787939713226674,0.0,0.0,1049.4919810833808,89030993.25370632,89030993.25370632
2008,균등 분할매수,78,2014-06-30,85.74192810058594,79.11233444213867,1011.6,균등분할,0.0,1049.4919810833808,1000000.0,1000000.0,11.52916710530577,0.0,0.0,1037.962813978075,90029297.38960937,90029297.38960937
