strategy,month_number,actual_withdrawal_krw,tax_paid_krw,ending_balance_krw,us_core_value_krw,us_core_principal_krw,us_core_gain_krw,isa_principal_krw,isa_gain_krw,pension_principal_krw,pension_gain_krw,general_krw,us_excess_krw
계좌순,80,5000000.0,0.0,175657830.03032324,26640055.919165272,14111848.251344413,12528207.66782086,61309377.31356594,87708396.79759201,0.0,0.0,0.0,0.0
계좌순,81,5000000.0,0.0,172058550.23442152,26852487.466098547,14111848.251344413,12740639.214754134,56309377.31356594,88896685.45475703,0.0,0.0,0.0,0.0
계좌순,82,5000000.0,0.0,168430569.2759844,27066612.972018592,14111848.251344413,12954764.72067418,51309377.31356594,90054578.99039987,0.0,0.0,0.0,0.0
계좌순,83,5000000.0,0.0,164773658.28791133,27282445.94479226,14111848.251344413,13170597.693447847,46309377.31356594,91181835.02955312,0.0,0.0,0.0,0.0
계좌순,84,5000000.0,0.0,161087586.5780833,25000000.000000004,12828952.955767645,12171047.04423236,41309377.31356594,92278209.26451737,0.0,0.0,0.0,2500000.0000000075
계좌순,85,5000000.0,0.0,157352186.2637379,25199353.510722596,12828952.955767645,12370400.554954952,38809377.31356595,93343455.43944934,0.0,0.0,0.0,0.0
계좌순,86,5000000.0,0.0,153606934.69379994,25400296.694334686,12828952.955767645,12571343.738567041,33809377.31356595,94397260.68589932,0.0,0.0,0.0,0.0
계좌순,87,5000000.0,0.0,149831817.96190175,25602842.22711113,12828952.955767645,12773889.271343486,28809377.313565947,95419598.42122468,0.0,0.0,0.0,0.0
계좌순,88,5000000.0,0.0,146026597.9190479,25807002.886409182,12828952.955767645,12978049.930641538,23809377.313565947,96410217.71907276,0.0,0.0,0.0,0.0
계좌순,89,5000000.0,0.0,142191034.51720947,26012791.551474534,12828952.955767645,13183838.59570689,18809377.313565947,97368865.65216899,0.0,0.0,0.0,0.0
계좌순,90,5000000.0,0.0,138324885.79418078,26220221.204253796,12828952.955767645,13391268.248486152,13809377.313565947,98295287.27636105,0.0,0.0,0.0,0.0
계좌순,91,5000000.0,0.0,134427907.85831565,26429304.930213436,12828952.955767645,13600351.974445792,8809377.313565947,99189225.61453629,0.0,0.0,0.0,0.0
계좌순,92,5000000.0,0.0,130499854.87314159,26640055.919165276,12828952.955767645,13811102.963397631,3809377.313565947,100050421.64041036,0.0,0.0,0.0,0.0
계좌순,93,5000000.0,9788982.811956521,116751496.22989506,26852487.466098547,12828952.955767645,14023534.510330902,20000000.0,0.0,18000000.0,0.0,51899008.76379651,0.0
계좌순,94,5000000.0,6098.943905700396,112676390.11221117,27066612.972018596,12828952.955767645,14237660.016250951,20000000.0,159482.80857807398,18000000.0,143534.52772026882,47306759.80389423,0.0
계좌순,95,5000000.0,12164.359286382945,108562723.11070152,27282445.944792263,12828952.955767645,14453492.989024619,20000000.0,320237.3554677479,18000000.0,288213.61992097646,42671826.190520525,0.0
계좌순,96,5000000.0,18196.332126730285,104344714.38234746,25000000.0,11662684.50524331,13337315.49475669,20000000.0,482273.7816889025,36000000.0,434046.40352001786,19928394.197138544,2500000.0000000075
계좌순,97,5000000.0,12097.47478194423,100144740.96199195,25199353.510722596,11662684.50524331,13536669.005479285,20000000.0,645602.309127342,36000000.0,724576.6059348732,17575208.53620714,0.0
계좌순,98,4999999.999999999,30160.299866498,95913148.88977256,25400296.694334686,11662684.50524331,13737612.189091375,20000000.0,810233.2411796227,36000000.0,1017423.5369826406,12685195.417275628,0.0
계좌순,99,4999999.999999999,36092.47241382917,91641881.33558415,25602842.22711113,11662684.50524331,13940157.72186782,20000000.0,976176.9634030312,36000000.0,1312605.6705827415,7750256.474487241,0.0
계좌순,100,5000000.0,41991.557675023,87330655.00884801,25807002.886409182,11662684.50524331,14144318.381165871,20000000.0,1143443.9441707432,36000000.0,1610141.6279682815,2770066.5502997995,0.0
계좌순,101,5000000.0,26471.82225797151,83000570.09337875,26012791.551474538,11662684.50524331,14350107.046231227,20000000.0,1312044.735332217,33765683.627711326,1910050.1788606644,0.0,0.0
계좌순,102,5000000.0,0.0,78662428.2949824,26220221.204253793,11662684.50524331,14557536.699010482,20000000.0,1481989.9728788324,28765683.627711326,2194533.490138456,0.0,0.0
계좌순,103,5000000.0,0.0,74289693.54468518,26429304.930213436,11662684.50524331,14766620.424970126,20000000.0,1653290.3776148744,23765683.627711326,2441414.6091455445,0.0,0.0
계좌순,104,5000000.0,0.0,69882089.99343072,26640055.919165276,11662684.50524331,14977371.413921965,20000000.0,1825956.7558338046,18765683.627711326,2650393.690720316,0.0,0.0
계좌순,105,5000000.0,0.0,65439339.59250362,26852487.466098547,11662684.50524331,15189802.960855236,20000000.0,2000000.0000000037,13765683.627711326,2821168.498693751,0.0,0.0
계좌순,106,5000000.0,0.0,60961162.07598898,27066612.972018596,11662684.50524331,15403928.466775285,20000000.0,2175431.0894358866,8765683.627711326,2953434.3868231643,0.0,0.0
계좌순,107,5000000.0,0.0,56447274.94309207,27282445.94479226,11662684.50524331,15619761.439548949,20000000.0,2352261.091014527,3765683.627711326,3046884.2795739593,0.0,0.0
